2024-10-24T13:34:03.929816136Z I1024 13:34:03.929559       1 base_controller.go:68] Waiting for caches to sync for CertSyncController
2024-10-24T13:34:03.930080516Z I1024 13:34:03.929559       1 observer_polling.go:159] Starting file observer
2024-10-24T13:34:04.030778241Z I1024 13:34:04.030712       1 base_controller.go:74] Caches are synced for CertSyncController 
2024-10-24T13:34:04.030855621Z I1024 13:34:04.030838       1 base_controller.go:111] Starting #1 worker of CertSyncController controller ...
2024-10-24T13:34:04.031016821Z I1024 13:34:04.030967       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T13:34:04.031389411Z I1024 13:34:04.031356       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T13:44:03.955841826Z I1024 13:44:03.955703       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T13:44:03.959039076Z I1024 13:44:03.958930       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T13:44:03.960915376Z I1024 13:44:03.960837       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T13:44:03.961246615Z I1024 13:44:03.961186       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T13:46:20.155564915Z I1024 13:46:20.155446       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T13:46:20.161498594Z I1024 13:46:20.161451       1 certsync_controller.go:155] Creating directory "/etc/kubernetes/static-pod-certs/configmaps/aggregator-client-ca" ...
2024-10-24T13:46:20.161563694Z I1024 13:46:20.161505       1 certsync_controller.go:168] Writing configmap manifest "/etc/kubernetes/static-pod-certs/configmaps/aggregator-client-ca/ca-bundle.crt" ...
2024-10-24T13:46:20.162265084Z I1024 13:46:20.162085       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T13:46:20.162265084Z I1024 13:46:20.162047       1 event.go:377] Event(v1.ObjectReference{Kind:"Pod", Namespace:"openshift-kube-controller-manager", Name:"kube-controller-manager-ci-op-2fcpj5j6-f6035-2lklf-master-0", UID:"", APIVersion:"v1", ResourceVersion:"", FieldPath:""}): type: 'Normal' reason: 'CertificateUpdated' Wrote updated configmap: openshift-kube-controller-manager/aggregator-client-ca
2024-10-24T13:51:29.934371410Z I1024 13:51:29.934223       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T13:51:29.934740490Z I1024 13:51:29.934695       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T13:51:29.934871150Z I1024 13:51:29.934841       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T13:51:29.935178300Z I1024 13:51:29.935039       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T13:51:35.371298243Z I1024 13:51:35.371177       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T13:51:35.371621413Z I1024 13:51:35.371573       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T13:51:35.371748123Z I1024 13:51:35.371721       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T13:51:35.371937743Z I1024 13:51:35.371914       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:01:20.568598593Z E1024 14:01:20.568451       1 reflector.go:158] "Unhandled Error" err="k8s.io/client-go@v0.31.1/tools/cache/reflector.go:243: Failed to watch *v1.Secret: unknown (get secrets)"
2024-10-24T14:01:28.701177116Z I1024 14:01:28.701056       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:01:28.701706206Z I1024 14:01:28.701652       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:01:28.702007116Z I1024 14:01:28.701922       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:01:28.702431626Z I1024 14:01:28.702363       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:01:28.702642626Z I1024 14:01:28.702605       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:01:28.703257426Z I1024 14:01:28.703072       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:01:31.485317726Z I1024 14:01:31.485211       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:01:31.485839396Z I1024 14:01:31.485794       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:01:31.485966086Z I1024 14:01:31.485938       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:01:31.486173156Z I1024 14:01:31.486145       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:00.841400589Z I1024 14:08:00.841308       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:00.841676449Z I1024 14:08:00.841638       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:00.859226318Z I1024 14:08:00.859142       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:00.859582827Z I1024 14:08:00.859525       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
